City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
466,Sampit,ID,81.9,-2.5333,112.95,Aquarius Boutique Hotel Sampit
468,Meulaboh,ID,78.44,4.1363,96.1285,Kost Pria
470,Panguna,PG,79.86,-6.3164,155.4848,
476,Paranaiba,BR,78.93,-19.6772,-51.1908,Villa Rica Park Hotel GMR
481,Asfi,MA,75.67,32.2994,-9.2372,Hôtel Abda
482,Labuhan,ID,79.39,-6.8844,112.2051,DoubleFAG
483,Dhidhdhoo,MV,81.66,6.8833,73.1,Dhidhoo beach
485,Dargaville,NZ,75.49,-35.9333,173.8833,Parkview Motel
489,Malakal,SS,75.49,9.5334,31.6605,Nile Palace Hotel
494,Sale,MA,80.64,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
506,Coahuayana,MX,77.56,18.7333,-103.6833,El rranchito michuacan de ocampos
511,Rock Sound,BS,80.37,24.9,-76.2,Pink Corral Bay Property
512,Sabya,SA,82.72,17.1495,42.6254,Aseel Hotel Apartment
513,Trairi,BR,78.94,-3.2778,-39.2689,janelas do mar
515,Totolapa,MX,77.43,18.5167,-96.1833,El bolso de los ruiz
517,Pochutla,MX,81.82,15.7432,-96.4661,Hotel Posada San Jose
519,Kingston,JM,81.55,17.997,-76.7936,The Jamaica Pegasus Hotel
520,Granville,AU,77.22,-33.8333,151.0167,Mercure Sydney Parramatta
521,Sorong,ID,84.22,-0.8833,131.25,Waigo Splash Hotel
523,Severiano Melo,BR,79.92,-5.7772,-37.9578,Chácara Bela Vista
525,Mandiana,GN,75.13,10.6333,-8.6833,Centre d'accueil de Mandiana
526,Harper,LR,76.57,4.375,-7.7169,Screensaver
528,Boke,GN,75.63,10.9409,-14.2967,Hôtel Rio Nunez - Boké
529,San Rafael Del Sur,NI,75.45,11.8485,-86.4384,Hospedaje El Chino
531,Aden,YE,80.65,12.7794,45.0367,Sama Emirate Hotel
534,Liku,ID,85.06,-0.7275,119.8922,Kost annisa
537,Vila Velha,BR,76.95,-20.3297,-40.2925,Hotel Vitória Palace
538,Kavaratti,IN,81.68,10.5669,72.642,Green leaf
539,Rabak,SD,84.58,13.1809,32.74,فندق ربك Rabak Hotel
540,Salinopolis,BR,80.73,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
541,Namatanai,PG,84.99,-3.6667,152.4333,Seagulls Inn Namatani
549,Gorom-Gorom,BF,78.94,14.4439,-0.2361,
555,Omboue,GA,76.59,-1.5746,9.2618,Hotel Olako
